,strain_id,strain,type,Rating,effects,description,Flavors
1951,1951,spoetnik 1,indica,5.0,"focused, sleepy, creative, energetic, euphoric","spoetnik #1 by paradise seeds (not to be confused with sputnik) is named for the cccp satellite sent into space in 1957. while the full genetic cross remains a mystery, this plant exhibits strong afghani traits, including rich, dark buds that have an earthy aroma intermixed with subtle fruitiness. this plant is tall and resilient, making it ideal for new growers seeking a plant with a larger than average yield.  ","flowery, lavender, rose"
1953,1953,spyder mon,hybrid,5.0,"uplifted, creative, focused, happy, relaxed","spyder mon is an uplifting cbd strain with a good lineage, getting its manageable euphoria and anti-inflammatory effects from midnight farm’s super skunk and florin wellness center’s charlotte’s web. this combo delivers a 2.5:1 cbd/thc ratio that soothes the body while improving the mood. its effects are mostly clear-headed that lend themselves to all day use. the aroma is fresh, exhibiting notes of citrus and pine. utilize spyder mon to help reduce inflammation, nausea, headaches, and minor physical aches and pains.","citrus, earthy, sweet"
682,682,double tap,indica,5.0,"talkative, happy, relaxed","double tap by mr. mack’s snacks is a potent cannabis strain designed for high-tolerance consumers. the strain’s monster cookies x yeti og x bloos kloos heritage boasts large yields and potency well over 20% thc. double tap’s bloos kloos ancestry also gives this strain sweet and aromatic flavors of berry, pine, grape, and fuel. this heavy indica should be consumed sparingly. as the name implies, double tap takes you out and puts you down, leaving the body sedated and the mind relaxed.","grape, diesel, sweet
"
683,683,dougs varin,sativa,5.0,"uplifted, creative, energetic, focused, talkative","doug’s varin is a rare sativa strain that was specially crafted to contain high amounts of the cannabinoid thcv, a psychoactive cannabis compound known to relieve panic attacks, parkinson’s tremors, stimulate bone growth, and provide a burst of energy. patient’s suffering from anorexia and appetite loss should steer clear of doug’s varin, as thcv also suppresses hunger. with an aroma of earthy pine and sweet citrus, doug’s varin delivers a clear-headed burst of mental stimulation that doesn’t last as long as high-thc varieties, making this strain a perfect choice for anyone seeking short-term effects.","lemon, pine, woody"
182,182,bell ringer,indica,5.0,"relaxed, sleepy, euphoric, hungry, happy","bell ringer by khush kush is a heavyweight indica with a complex terpene profile. khush kush’s renowned one-two punch bell ringer is a combination of hindu skunk and stardawg mixed with the original heavyweight, pre-98 bubba kush. in true indica fashion, bell ringer will stimulate your appetite and knock you out. the effects are weighted and euphoric, relieving physical pain while saddling the consumer with the aforementioned “muchy mania.” enjoy bell ringer and its acrid, astringent, petrol aroma later in the day to maximize the strain’s sedative qualities.","sweet, citrus, pungent"
179,179,bedford glue,hybrid,5.0,"happy, uplifted, euphoric, giggly, relaxed","bedford glue is a midwest twist on one of the cannabis industry’s rising stars. this strain was created by combining gorilla glue #1 with highwayman, lending a stimulating alertness to gorilla glue #1’s robust potency. it has a forest-like aroma with notes of pine, pepper, and herbs. bedford glue is generally a heady strain with mild body effects, making it an suitable hybrid for consumers seeking a thc content above 20% without overly debilitating effects.  ","pepper, pine, sage"
678,678,double mint,indica,5.0,"uplifted, euphoric, sleepy, talkative, tingly","double mint by natural genetics seeds is an indica-dominant cross of signature genetics. by pairing sinmint cookies with mint chocolate chip, nsg backcrosses mint chocolate chip with its mother plant, reinforcing the sweet, minty terpenes of this strain’s resinous, rock-like buds. double mint has a punctual 63-day flowering time and generous resin production, making it a perfect strain for extraction. its sedative effects and mind-numbing euphoria make it an ideal “end of the day” strain to shrug off stress and be so chill, you’re minty.  ","minty, mint, lemon"
1961,1961,stardawg 91,indica,5.0,"sleepy, euphoric, happy, relaxed","stardawg 91 by deschutes growery is an indica-dominant combination of incredibly potent genetics. this common-sense cross of stardawg and chemdawg 91 is a pungent mashup of chemical aromas and powerful physical effects. it expresses aromatic notes of grease and fuel that speak to a varied terpene profile of beta-caryophyllene, limonene, and humulene. while this strain floats around 20% thc, mind your dosage; chemdawg genetics are famous for their potency, and this strain has a long lineage of chemdawg descendants. ","diesel, pepper, earthy"
898,898,grandmas sugar cookies,indica,5.0,"relaxed, happy, energetic, focused, creative","grandma’s sugar cookies by johnston’s genetics is a sweet cross of girl scout cookies and black sugar berry. this strain brings gsc’s happy, heavyweight buzz together with the candied indica-dominant genetics of black sugar berry (black sugar rose x plushberry) to offer consumers a delectable terpene profile rich with notes of anise, tart cherries, dough, and pungent earth. it behaves similarly to girl scout cookies, but offers deeper relaxation that may lead to sleep. this strain’s strong, carefree effects make it ideal for folks looking to nullify stress and enhance mood.     ","pungent, sweet, cheese"
891,891,gorkle,sativa,5.0,"relaxed, happy, creative, focused, aroused",gorkle is a cross between the fork and rebel god smoke. this sativa-dominant strain exhibits the better parts of it hawaiian genetics through an uplifting and stimulating body buzz that lingers for hours. its effects are also easy on the joints and limbs in a nod to its recessive rug burn og genetics. consumers seeking relief from fatigue and lethargy may also find this strain to be very useful. enjoy gorkle during the day to maximize its physical stimulation. this strain was handcrafted by colorado seed inc. ,sweet
172,172,batgirl,hybrid,5.0,"euphoric, relaxed","batgirl is a sativa-dominant hybrid with beautiful effects. this jack’s cleaner and blueberry cross brings out a unique and pleasant aroma of sweet berry and spicy chemicals. the strain’s hybrid effects express themselves as a heady euphoria that uplifts the mind while gently coating the body in calming haze. weight can be felt on the eyelids as batgirl circulates a warm, calming sensation through the body, making this strain ideal for consumers looking to shrug off stress and fatigue while improving mood.",none
890,890,gorilla grips,indica,5.0,"sleepy, uplifted, euphoric, happy, relaxed","gorilla grips by sincity seeds is a hard-hitting indica-dominant strain not meant for unseasoned cannabis consumers. bred from the well-known gorilla glue #4 and sincity’s own blue power stud, gorilla grips combines pungent aromas with potent effects. it offers a solid yield and an abundance of trichomes, making it ideal for hash production. this strain’s terpene profile is a mixture of fuel, pine, and sweet, dark fruit, resulting in a one-of-a-kind aroma. ","blueberry, grape, berry"
1968,1968,straight as haze,sativa,5.0,"energetic, euphoric, happy, talkative, giggly","straight as haze by cereal killer genetics is a special phenotype for haze aficionados. this unique incarnation of paradise seeds’ delahaze is a clarity-driven strain with a complex, spicy terpene profile. the grower, shaman stinky steve, noted hints of nutmeg, pepper, cinnamon, and incense as well a motivating body high that promotes activity. straight as is also known as “clean the garage haze,” as steve found himself doing chores, acing his classes, and losing weight “ever since this strain came into [his] life.”    ","sweet, citrus, spicy/herbal"
1981,1981,strawberry frost,indica,5.0,"happy, aroused, relaxed, giggly, hungry","strawberry frost by maddfarmer is a three-way cross of fruity trichome producers. the genetic descendant of a strawberry cough/deep chunk hybrid crossed with space queen, strawberry frost is a heady indica-dominant strain that is gentle on the body. this dreamy strain calms the body and elevates the mind, placing the consumer in a relaxed, whimsical state. these effects naturally aid with stress, anxiety, and general restlessness. ","sweet, strawberry, earthy"
191,191,bertberry cheesecake,sativa,5.0,"uplifted, creative, euphoric, focused, energetic","bertberry cheesecake by bert baccarat is a bright sativa-dominant cross of alien moonshine and uk cheese. this strain’s terpene profile is rich with sweet citrus, and its buds are bulbous, bright green, and tangled in orange hairs. bertberry cheesecake is both mentally and physically stimulating, offering creativity and strong euphoria. but mind your dosage, as  bertberry cheesecake has been known to overstimulate consumers prone to anxiety.  ","cheese, berry, tree, fruit"
1934,1934,south asian sativa,sativa,5.0,"energetic, euphoric, giggly, happy",south asian refers to the indigenous sativa varieties of cannabis (or landraces) that grow natively in this region of the world.,"diesel, earthy"
1885,1885,sorcerers apprentice,hybrid,5.0,"tingly, focused, aroused, uplifted, energetic","sorcerer’s apprentice by bodhi seeds sprinkles a little magic in your bowl. created through some mystical cannabis alchemy, this strain’s genetic parents are cheech wizard crossed with appalachia. this hybrid pairing conjures sweet, creamy aromas with a subtle note of chemicals on the rim. it is known for its dreamy, contemplative mental state and functional relaxation. ","sweet, tropical"
662,662,doctor doctor,sativa,5.0,"relaxed, uplifted, focused, happy, aroused","doctor doctor by vodis usa is a high-cbd sativa-dominant phenotype of the landrace malawi. this cannabinoid power plant has been known to generate over 20% cbd and approximately 1-2.5% thc. with this medicinal ratio, doctor doctor provides potent wellness driven effects that settle nausea, reduce inflammation, and abate anxiety all while preserving mental clarity. overall, doctor doctor is the perfect choice for consumers seeking a smooth, flavorful smoke with the potential to ease both physical and mental stresses.  ","sweet, strawberry, citrus"
