,strain_id,strain,type,Rating,effects,description,Flavors
1888,1888,soulshine aloha,indica,5.0,"tingly, uplifted, euphoric, focused, happy","aloha by soulshine cannabis (not to be mistaken with the sativa-dominant variety of aloha) is a deeply sedative strain best saved for the evening. this indica-dominant variety is a mixture of ice princess (cinderella 99 x white widow) and hawaiian big bud. aloha’s odor is pleasant and forest-like, giving off earthy and skunky terpenes. the flavor is also earthy, but retains a hint sweetness on the exhale. aloha hits hard and fast, weighing heavily on the eyelids and the limbs. its high potency makes it a natural fit for seasoned consumers, and its deep relaxation makes it worthwhile for those seeking relief from insomnia and anxiety.    ","sweet, earthy"
959,959,gupta haze,hybrid,5.0,"relaxed, happy, sleepy, euphoric, giggly","tangerine haze and gupta kush come together in this outstanding hybrid by colorado seed inc. with sweet and stimulating effects brought forward by tang’s nyc diesel x g13 haze parentage and a yield and potency boost from gupta kush, gupta haze is mentally clarifying with a generous body buzz. expect plants with an average thc content of no less than 21% that finishes is about 10 weeks.  ","earthy, citrus, lemon"
220,220,black cherry pie,hybrid,5.0,"relaxed, uplifted, creative, euphoric, happy","black cherry pie is a fruity strain with colorful foliage. created by green mountain collective, this strain is the genetic offspring of blackberry kush and cherry pie. these genetics are exhibited in the deep purple hues overlaid by jade green buds with orange hairs, as well as in the pungent woody aroma smeared with tart blackberry. black cherry pie’s physical effects soothe nausea and minor aches and pains while keeping the mind aloof and creative. its bright mind and semi-sedative effects make it a natural complement for indoor activities and relaxed evenings.","earthy, berry, sweet"
655,655,dirty old bastard,indica,5.0,"relaxed, uplifted, happy, aroused, creative","dirty old bastard (also known as dirty, ol’ dirty bastard, or dirt mcgirt) is an indica-dominant cross that pays homage to wu-tang clan’s own, odb. a cross between california classic, og kush, and the ever-sweet blackberry, dirty old bastard melds complementary flavors and effects, creating a strain that is pleasant on the palate and the body. the strain’s aroma is saccharin with notes of berry, lemon, and pine. its effects are initially uplifting, but quickly mellow into hazy relaxation that helps abate stress and depression. the physical effects deepen with time and continued consumption, lending benefits to consumers treating cramps and pain. ","earthy, woody, sweet"
957,957,gummo,hybrid,5.0,"euphoric, uplifted, happy, relaxed, aroused","gummo by gabriel cannabis is a unique, fruity cross of flavorful genetics. it was created by crossing bubble gum and orange bud, and emits a bouquet full of tart citrus and sweet fruit. this strain tastes like it smells with effects that are surprisingly laid back, even with the strain’s bright terpene profile. anticipate calming physical effects that are juxtaposed against a happy and euphoric mental state. enjoy gummo throughout the day to elevate mood and tame pain.","citrus, sweet, orange"
658,658,dizzy og,hybrid,5.0,"giggly, relaxed, uplifted, happy, hungry","dizzy og took 2nd place for best medical hybrid flower at the 2016 socal cannabis cup and is the official strain of las vegas hip-hop luminary dizzy wright. this strain has traditional og qualities, including a heavy yet functional body buzz that sticks to the bones. with slightly sweeter terpenoids than traditional og strains, this hybrid is an all-day smoke for the seasoned consumer, but can lean toward full sedation in larger doses.  ","sweet, pungent, spicy/herbal"
212,212,birds eye,sativa,5.0,"happy, uplifted, energetic, euphoric, relaxed","birds eye is a variety of jack herer grown by canadian lp tweed, inc. its flavors mirror the invigorating mix of sweet citrus and spicy pine that many associate with jack herer. birds eye produces potent yet balanced effects that ease stress and body pains while allowing consumers to maintain focus and activity. ",sweet
949,949,grimmdica,indica,5.0,"euphoric, relaxed","legendary canadian breeders brothers grimm seeds are back at it, reworking some of their original genetics and re-releasing classic seed lines that are hoarded and coveted by those in the know. with grimmdica, they have crossed their heirloom sensi hash plant with their favorite afghani male to produce a truly old-school indica hybrid. the blissful, tranquilizing euphoria and rich, acrid hash flavor with hints of pine are sure to please lovers of classic indica strains everywhere.","earthy, sweet, grape"
923,923,green avenger,hybrid,5.0,"energetic, happy, uplifted, creative, euphoric","the celebrated breeder subcool is well-known for his fondness of brothers grimm genetics, having used several of their strains in his breeding projects. as a thank you for championing their genetics while they were on a long hiatus from the seed business, the now active brothers grimm named a special hybrid after his seed company tga (the green avengers). after finding a special male in a pack of tga’s vortex, they decided to cross it with their genius, one of the most sought after apollo 11 phenotypes. the result is green avenger, a squat, branchy plant with long, sticky colas of tropical, fruity smelling flowers. with notes of pineapple and citrus, green avenger delivers a speedy, euphoric rush.","sweet, minty, honey"
1923,1923,sour spyder,indica,5.0,"aroused, tingly, energetic, euphoric, happy","sour spyder is a combination of two autoflowering strains built for their resilience in the garden and speed of production. the strain blends black creek garden’s spyder (which has a background in sputnik #2 and lowryder) and mdanzig’s sour60, a snappy 60-day autoflower that is based in master kush, dj short’s blueberry, sour bubble, and diesel ryder. sour spyder is a colorful, squat indica-dominant strain that produces small, tight nuggets bearing the smell of floral cotton candy and sour fuel. its moderately sedating effects can be enjoyed by anyone looking to kick back and relax, but sour spyder may offer other benefits to patients including stress and nausea relief.","ammonia, citrus, coffee"
1924,1924,sour star head,sativa,5.0,"uplifted, happy, talkative, energetic, euphoric","sour star head, also known as killer love, is a flavorful new strain from rebel spirit cannabis of oregon. this strain is a cross of ultra love, sour tangie, and star killer, and it falls firmly into the sativa-dominant category. sour star head is tart and fruity on the nose while the flavor demonstrates similar quality, but with a creamy finish. the plant grows bulbous, round buds and offers consumers a cerebral and inspiring energy that can promote productivity and combat fatigue.   ","citrus, sweet, spicy/herbal"
665,665,dolla sign og kush,indica,5.0,"creative, sleepy, uplifted, energetic, hungry","dolla sign og kush by ty dolla sign is an og blend befitting the rising hip hop/rnb wunderkind. he achieves this one-of-a-kind strain by blending irene og and larry og (two of his favorite cuts), creating a strain with distinct aromas and unique effects. the terpene profile is a fresh blend of diesel, lemon, pine, and earth, and its effects offer heady kush elements while remaining kind to the body. enjoy dolla sign og kush throughout the day, but beware, it may have strong sedative effects with continued consumption. ","sweet, flowery, pungent"
204,204,big smooth,hybrid,5.0,"happy, relaxed, giggly, uplifted, aroused","big smooth by exotic genetix is a flavorful cross of og blueberry and cookies and cream. this indica-leaning hybrid offers a delicious terpene profile that smells sweet and doughy, like blueberry pancakes. big smooth grows bushy, medium-tall plants and has a flowering time of 55-66 days. enjoy big smooth for its delicious flavor and euphoric, middleweight sedation. this strain is a seasoned fit for improving moods and tempering minor aches and pains.      ","blueberry, spicy/herbal, nutty"
667,667,don shula,hybrid,5.0,"uplifted, euphoric, relaxed, talkative, happy","don shula, 3rd place winner of best hybrid flower at the 2016 colorado cannabis cup, crosses the white and diagonal (true og x east coast sour diesel) to create a hybrid that sits upright in the body and mind. exhibiting functional og effects, this pungent strain is a comfortable middle ground for indica-dominant enthusiasts seeking an all-day strain.     ","citrus, tropical, diesel"
201,201,big mac,indica,5.0,"relaxed, aroused, sleepy, talkative, tingly","big mac by federation seeds is an indica-dominant strain with unique sativa fan leaves and an accelerated grow cycle. this generous cut of mikado and bc big bud develops quickly indoors, growing upwards of six feet tall over its speedy seven week maturation. the large plant produces a healthy yield of fruity mid-sized buds that reek of berry and citrus peel. big mac’s effects elevate the mind and relax the body, offering a creative bent to a satisfying sedation. enjoy big mac to stimulate the mind and the appetite while infusing the limbs with a relaxing weighted warmth.   ","sweet, berry, blueberry"
